Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),46.33333333333333,46.33333333333333,46.33333333333333,46.33333333333333,46.33333333333333
SVM (Poly),51.33333333333333,51.33333333333333,51.33333333333333,51.33333333333333,51.33333333333333
SVM (RBF),42.66666666666667,42.66666666666667,42.66666666666667,42.66666666666667,42.66666666666667
RF_50-Trees,50.33333333333333,50.33333333333333,50.33333333333333,50.33333333333333,50.33333333333333
RF_100-Trees,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.33333333333334
RF_150-Trees,50.66666666666667,50.66666666666667,50.66666666666667,50.66666666666667,50.66666666666667
