Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),54.0,54.0,54.0,54.0,54.0
SVM (Poly),49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.33333333333334
SVM (RBF),53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336
RF_50-Trees,56.666666666666664,56.666666666666664,56.666666666666664,56.666666666666664,56.666666666666664
RF_100-Trees,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664
RF_150-Trees,59.333333333333336,59.333333333333336,59.333333333333336,59.333333333333336,59.333333333333336
