Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664
SVM (Poly),46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664
SVM (RBF),36.666666666666664,36.666666666666664,36.666666666666664,36.666666666666664,36.666666666666664
RF_50-Trees,50.0,50.0,50.0,50.0,50.0
RF_100-Trees,50.0,50.0,50.0,50.0,50.0
RF_150-Trees,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336
