Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),48.333333333333336,48.333333333333336,48.333333333333336,48.333333333333336,48.333333333333336
SVM (Poly),43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336
SVM (RBF),41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667
RF_50-Trees,43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336
RF_100-Trees,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667
RF_150-Trees,36.666666666666664,36.666666666666664,36.666666666666664,36.666666666666664,36.666666666666664
