Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),50.0,50.0,50.0,50.0,50.0
SVM (Poly),61.66666666666667,61.66666666666667,61.66666666666667,61.66666666666667,61.66666666666667
SVM (RBF),48.333333333333336,48.333333333333336,48.333333333333336,48.333333333333336,48.333333333333336
RF_50-Trees,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664
RF_100-Trees,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667
RF_150-Trees,45.0,45.0,45.0,45.0,45.0
