Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),48.0,48.0,48.0,48.0,48.0
SVM (Poly),42.66666666666667,42.66666666666667,42.66666666666667,42.66666666666667,42.66666666666667
SVM (RBF),40.666666666666664,40.666666666666664,40.666666666666664,40.666666666666664,40.666666666666664
RF_50-Trees,48.0,48.0,48.0,48.0,48.0
RF_100-Trees,48.66666666666667,48.66666666666667,48.66666666666667,48.66666666666667,48.66666666666667
RF_150-Trees,51.33333333333333,51.33333333333333,51.33333333333333,51.33333333333333,51.33333333333333
