Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),48.66666666666667,48.66666666666667,48.66666666666667,48.66666666666667,48.66666666666667
SVM (Poly),47.333333333333336,47.333333333333336,47.333333333333336,47.333333333333336,47.333333333333336
SVM (RBF),40.0,40.0,40.0,40.0,40.00000000000001
RF_50-Trees,43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336
RF_100-Trees,43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336
RF_150-Trees,45.33333333333333,45.33333333333333,45.33333333333333,45.33333333333333,45.33333333333333
