Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),56.666666666666664,56.666666666666664,56.666666666666664,56.666666666666664,56.666666666666664
SVM (Poly),41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667
SVM (RBF),51.66666666666667,51.66666666666667,51.66666666666667,51.66666666666667,51.66666666666667
RF_50-Trees,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336
RF_100-Trees,60.0,60.0,60.0,60.0,60.0
RF_150-Trees,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336
