Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336
SVM (Poly),48.80952380952381,48.80952380952381,48.80952380952381,48.80952380952381,48.80952380952381
SVM (RBF),58.730158730158735,58.730158730158735,58.730158730158735,58.730158730158735,58.730158730158735
RF_50-Trees,62.698412698412696,62.698412698412696,62.698412698412696,62.698412698412696,62.698412698412696
RF_100-Trees,65.87301587301587,65.87301587301587,65.87301587301587,65.87301587301587,65.87301587301587
RF_150-Trees,64.68253968253968,64.68253968253968,64.68253968253968,64.68253968253968,64.68253968253968
