Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),53.73134328358209,53.73134328358209,53.73134328358209,53.73134328358209,53.73134328358209
SVM (Poly),44.40298507462687,44.40298507462687,44.40298507462687,44.40298507462687,44.40298507462687
SVM (RBF),51.865671641791046,51.865671641791046,51.865671641791046,51.865671641791046,51.865671641791046
RF_50-Trees,57.83582089552238,57.83582089552238,57.83582089552238,57.83582089552238,57.83582089552238
RF_100-Trees,60.447761194029844,60.447761194029844,60.447761194029844,60.447761194029844,60.447761194029844
RF_150-Trees,60.07462686567165,60.07462686567165,60.07462686567165,60.07462686567165,60.07462686567165
