Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),55.970149253731336,55.970149253731336,55.970149253731336,55.970149253731336,55.970149253731336
SVM (Poly),44.02985074626866,44.02985074626866,44.02985074626866,44.02985074626866,44.02985074626866
SVM (RBF),52.98507462686567,52.98507462686567,52.98507462686567,52.98507462686567,52.98507462686567
RF_50-Trees,51.11940298507462,51.11940298507462,51.11940298507462,51.11940298507462,51.11940298507462
RF_100-Trees,50.373134328358205,50.373134328358205,50.373134328358205,50.373134328358205,50.373134328358205
RF_150-Trees,52.23880597014925,52.23880597014925,52.23880597014925,52.23880597014925,52.23880597014925
