Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),44.333333333333336,44.333333333333336,44.333333333333336,44.333333333333336,44.333333333333336
SVM (Poly),48.0,48.0,48.0,48.0,48.0
SVM (RBF),49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.33333333333334
RF_50-Trees,44.666666666666664,44.666666666666664,44.666666666666664,44.666666666666664,44.666666666666664
RF_100-Trees,45.33333333333333,45.33333333333333,45.33333333333333,45.33333333333333,45.33333333333333
RF_150-Trees,45.666666666666664,45.666666666666664,45.666666666666664,45.666666666666664,45.666666666666664
