Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
SVM (Poly),50.0,50.0,50.0,50.0,50.0
SVM (RBF),70.0,70.0,70.0,70.0,70.0
RF_50-Trees,26.666666666666668,26.666666666666668,26.666666666666668,26.666666666666668,26.666666666666668
RF_100-Trees,23.333333333333332,23.333333333333332,23.333333333333332,23.333333333333332,23.333333333333332
RF_150-Trees,23.333333333333332,23.333333333333332,23.333333333333332,23.333333333333332,23.333333333333332
