Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336,43.333333333333336
SVM (Poly),40.666666666666664,40.666666666666664,40.666666666666664,40.666666666666664,40.666666666666664
SVM (RBF),48.0,48.0,48.0,48.0,48.0
RF_50-Trees,51.66666666666667,51.66666666666667,51.66666666666667,51.66666666666667,51.66666666666667
RF_100-Trees,52.666666666666664,52.666666666666664,52.666666666666664,52.666666666666664,52.666666666666664
RF_150-Trees,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336
