Model,Test Score,Accuracy,Precision,Recall,F1 Score
SVM (Linear),50.66666666666667,50.66666666666667,50.66666666666667,50.66666666666667,50.66666666666667
SVM (Poly),44.666666666666664,44.666666666666664,44.666666666666664,44.666666666666664,44.666666666666664
SVM (RBF),47.333333333333336,47.333333333333336,47.333333333333336,47.333333333333336,47.333333333333336
RF_50-Trees,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664
RF_100-Trees,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.33333333333334
RF_150-Trees,50.0,50.0,50.0,50.0,50.0
